Ticker,LatestSignal
ABG.JO,"Ticker
ABG.JO    20.0
Name: 2025-10-03 00:00:00, dtype: float64"
ADH.JO,"Ticker
ADH.JO   -20.0
Name: 2025-10-03 00:00:00, dtype: float64"
AEL.JO,"Ticker
AEL.JO   -20.0
Name: 2025-10-03 00:00:00, dtype: float64"
AFE.JO,"Ticker
AFE.JO   -20.0
Name: 2025-10-03 00:00:00, dtype: float64"
AFH.JO,"Ticker
AFH.JO   -20.0
Name: 2025-10-03 00:00:00, dtype: float64"
AFT.JO,"Ticker
AFT.JO   -20.0
Name: 2025-10-03 00:00:00, dtype: float64"
AGL.JO,"Ticker
AGL.JO    20.0
Name: 2025-10-03 00:00:00, dtype: float64"
AHR.JO,"Ticker
AHR.JO   -20.0
Name: 2025-10-02 00:00:00, dtype: float64"
AIP.JO,"Ticker
AIP.JO    20.0
Name: 2025-10-03 00:00:00, dtype: float64"
ANG.JO,"Ticker
ANG.JO    20.0
Name: 2025-10-03 00:00:00, dtype: float64"
ANH.JO,"Ticker
ANH.JO   -20.0
Name: 2025-10-03 00:00:00, dtype: float64"
APN.JO,"Ticker
APN.JO   -20.0
Name: 2025-10-03 00:00:00, dtype: float64"
ARI.JO,"Ticker
ARI.JO    20.0
Name: 2025-10-03 00:00:00, dtype: float64"
ARL.JO,"Ticker
ARL.JO    20.0
Name: 2025-10-03 00:00:00, dtype: float64"
ATT.JO,"Ticker
ATT.JO   -20.0
Name: 2025-10-03 00:00:00, dtype: float64"
AVI.JO,"Ticker
AVI.JO    20.0
Name: 2025-10-03 00:00:00, dtype: float64"
BAW.JO,"Ticker
BAW.JO    20.0
Name: 2025-10-03 00:00:00, dtype: float64"
BHG.JO,"Ticker
BHG.JO    20.0
Name: 2025-10-03 00:00:00, dtype: float64"
BID.JO,"Ticker
BID.JO   -20.0
Name: 2025-10-03 00:00:00, dtype: float64"
BLU.JO,"Ticker
BLU.JO   -20.0
Name: 2025-10-03 00:00:00, dtype: float64"
BOX.JO,"Ticker
BOX.JO    20.0
Name: 2025-10-03 00:00:00, dtype: float64"
BTI.JO,"Ticker
BTI.JO   -20.0
Name: 2025-10-03 00:00:00, dtype: float64"
BTN.JO,"Ticker
BTN.JO   -20.0
Name: 2025-10-03 00:00:00, dtype: float64"
BVT.JO,"Ticker
BVT.JO   -20.0
Name: 2025-10-03 00:00:00, dtype: float64"
BYI.JO,"Ticker
BYI.JO   -20.0
Name: 2025-10-03 00:00:00, dtype: float64"
CFR.JO,"Ticker
CFR.JO    20.0
Name: 2025-10-03 00:00:00, dtype: float64"
CLS.JO,"Ticker
CLS.JO   -20.0
Name: 2025-10-03 00:00:00, dtype: float64"
CML.JO,"Ticker
CML.JO    20.0
Name: 2025-10-03 00:00:00, dtype: float64"
COH.JO,"Ticker
COH.JO    20.0
Name: 2025-10-03 00:00:00, dtype: float64"
CPI.JO,"Ticker
CPI.JO    20.0
Name: 2025-10-03 00:00:00, dtype: float64"
CSB.JO,"Ticker
CSB.JO   -20.0
Name: 2025-10-03 00:00:00, dtype: float64"
DCP.JO,"Ticker
DCP.JO    20.0
Name: 2025-10-03 00:00:00, dtype: float64"
DRD.JO,"Ticker
DRD.JO    20.0
Name: 2025-10-03 00:00:00, dtype: float64"
DSY.JO,"Ticker
DSY.JO   -20.0
Name: 2025-10-03 00:00:00, dtype: float64"
DTC.JO,"Ticker
DTC.JO   -20.0
Name: 2025-10-03 00:00:00, dtype: float64"
EMI.JO,"Ticker
EMI.JO    20.0
Name: 2025-10-03 00:00:00, dtype: float64"
EQU.JO,"Ticker
EQU.JO    20.0
Name: 2025-10-03 00:00:00, dtype: float64"
EXX.JO,"Ticker
EXX.JO    20.0
Name: 2025-10-03 00:00:00, dtype: float64"
